sku,Preis,Inhalt / Volumen,Grössenangaben,Napfart,Marke,Material,Durchmesser/Länge,Form,Farbe,Eigenschaften,Tierart,Breite,Tiefe,Höhe,Ausstattung,Kubikmeter,Mit/ohne Filter,Zubehör,Beleuchtung,Schalenhöhe
103155,198,,,,Ferplast,Kunststoff||Metall,,,Schwarz||Grau,,Kanarien||Wellensittich,"61 – 100cm","31 – 50cm","61 – 100cm","Volle Ausstattung||Sitzstangen||Futterraufe||Tränke","0.05 – 0.30m³",,,,
103159,199,,,,Ferplast,Metall||Kunststoff||Holz,,,Schwarz||Hellbraun,,Kanarien||Wellensittich,"61 – 100cm","31 – 50cm","61 – 100cm","Volle Ausstattung||Sitzstangen||Futterraufe||Tränke","0.05 – 0.30m³",,,,
103163,229,,,,ferplast,Metall||Kunststoff||Holz,,,Schwarz||Hellbraun,,Kanarien||Wellensittich,"61 – 100cm","31 – 50cm","61 – 100cm","Volle Ausstattung||Sitzstangen||Futterraufe||Tränke","0.05 – 0.30m³",,,,
103164,449,,,,ferplast,"Metall||Kunststoff ",,,Schwarz||Hellbraun,,Kanarien||Wellensittich||Nymphensittich,"61 – 100cm","51 – 60cm","61 – 100cm","Volle Ausstattung||Sitzstangen||Futterraufe||Tränke","0.31 – 0.60m³",,,,
188240,298,,,,swisspet,Metall,,,Grün||Grau,"Auf Rollen",Kanarien||Wellensittich,"31 – 60cm","51 – 60cm","Über 100cm",Sitzstangen||Futterraufe,"0.31 – 0.60m³",,,,
188250,495,,,,swisspet,Metall,,,Schwarz,"Auf Rollen",Kanarien||Wellensittich||Nymphensittich||Hörnchen||Maus||Chinchilla,"61 – 100cm","Über 70cm","Über 100cm",Sitzstangen||Napf,"Über 1m³",,,,
103708,649,,,,swisspet,Metall||Plexiglas,,,Schwarz||Grau||Blau,"Auf Rollen",Kanarien||Wellensittich||Nymphensittich||Hörnchen||Maus||Chinchilla,"101 – 130cm","31 – 50cm","Über 100cm","Ohne Ausstattung","0.61 – 1m³",,,,
188251,345,,,,swisspet,Metall,,,Schwarz,"Auf Rollen || Inkl. Unterbau",Kanarien||Wellensittich,"61 – 100cm","51 – 60cm","61 – 100cm",Sitzstangen||Napf,"0.31 – 0.60m³",,,,
188261,398,,,,swisspet,Metall,,,Schwarz,"Auf Rollen || Inkl. Unterbau",Kanarien||Wellensittich||Nymphensittich||Hörnchen||Maus,"61 – 100cm","51 – 60cm","Über 100cm",Sitzstangen||Napf,"0.31 – 0.60m³",,,,
188246,690,,,,swisspet,Metall,,,Blau,"Auf Rollen || Inkl. Unterbau",Graupapagei,"101 – 130cm","Über 70cm","Über 100cm",Sitzstangen||Napf,"Über 1m³",,,,
403925,298,,,,swisspet,Holz||Metall||Kunststoff,,,Hellbraun,"Outdoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"61 – 100cm","Über 70cm","Über 100cm","Ohne Ausstattung","Über 1m³",,,,
403923,197,,,,swisspet,Holz||Metall||Kunststoff,,,Hellbraun,Outdoor-Gebrauch,Meerschweinchen||Kaninchen,"101 – 130cm","Über 70cm","Über 100cm","Ohne Ausstattung","Über 1m³",,,,
403916,495,,,,swisspet,Holz||Metall||Kunststoff,,,Hellbraun,Outdoor-Gebrauch,Meerschweinchen||Kaninchen,"Über 160cm","Über 70cm","Über 100cm","Ohne Ausstattung","Über 1m³",,,,
403927,99,,,,swisspet,,,,,Outdoor-Gebrauch,Meerschweinchen||Kaninchen,,,,"Ohne Ausstattung",,,,,
403929,79,,,,swisspet,,,,,Outdoor-Gebrauch,Meerschweinchen||Kaninchen,,,,"Ohne Ausstattung",,,,,
404218,349,,,,Ferplast,Kunststoff||Metall,,,Hellbraun||Dunkelbraun,"Outdoor-Gebrauch||Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"131 – 160cm","Über 70cm","Über 100cm","Ohne Ausstattung","Über 1m³",,,,
404221,398,,,,Ferplast,Kunststoff||Metall,,,Grau||Weiss,"Outdoor-Gebrauch||Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"131 – 160cm","Über 70cm","Über 100cm","Ohne Ausstattung","Über 1m³",,,,
404202,468,,,,Ferplast,Holz||Metall,,,Weiss,"Indoor-Gebrauch||Aufklappbares Dach||Inkl. Unterbau",Meerschweinchen||Kaninchen,"131 – 160cm","61 – 70cm","Über 100cm","Etage & Holzleitern","0.61 – 1m³",,,,
404061,265,,,,swisspet,Holz||Metall,,,Hellbraun,Outdoor-Gebrauch,Meerschweinchen||Kaninchen,"131 – 160cm","Über 70cm","46 – 60cm","Ohne Ausstattung","0.61 – 1m³",,,,
404044,399,,,,swisspet,Holz||Metall,,,Dunkelbraun,"Outdoor-Gebrauch||Aufklappbares Dach",Meerschweinchen||Kaninchen,"101 – 130cm","Über 70cm","36 – 45cm","Ohne Ausstattung","0.61 – 1m³",,,,
